cust_id,cust_first_name,cust_last_name,cust_username,cust_password,cust_record_create_date,mag_id,mag_name,mag_cost,mag_record_status,mag_record_create_date,prof_cust_cont_id,prof_phone,prof_zip,prof_state,prof_city,prof_street_address,prof_contact_type,prof_record_update_stamp,prof_record_status,prof_start_date,prof_end_date,sub_id,sub_num_mags_mailed,sub_payment_completed,sub_start_date,sub_end_date,pay_id,pay_amount,pay_type,pay_date,pay_card_num,pay_card_code,pay_record_create_date,category,
1,Anthony,Buchanan,Q55s-Anthony,4muF,2010-04-19,1,iron-era,19.89,0,2020-02-16,1,617-304-8676,20003,DC,Washington,421 1/2 6th Street Southeast,0,2014-11-13,0,2002-03-06,2018-04-06,1,2,0,2013-11-28,2018-08-09,1,19.69,0,2007-08-04,4556981166919580,1783,2013-01-15,history,
2,Aaron,Choi,Af8_-Aaron,pI6P,2006-05-29,2,intractable-polarization,27.55,0,2003-07-20,2,918-557-8934,40211,KY,Louisville,3620 Colmar Drive,0,2011-11-10,0,2011-06-08,2014-09-26,2,2,0,2007-09-20,2005-06-20,2,36.6,0,2005-12-25,4929442492053800,4646,2003-12-06,physics_optics,
3,Dorothy,Sower,6LiI-Dorothy,!9Fq,2018-10-04,3,worried-timer,28.09,0,2009-03-13,3,976-619-1410,06040,CT,Manchester,60 Downey Drive,0,2017-02-20,0,2003-06-12,2018-02-11,3,16,0,2015-11-19,2003-05-01,3,27.06,0,2007-08-23,4485946624613501,1455,2021-08-22,web_development,
4,Mary,Godbolt,Je1d-Mary,g$X3PX,2002-09-17,4,canary-tom,14.47,0,2017-09-21,4,261-197-2781,31404,GA,Thunderbolt,2817 3rd Street,0,2012-08-24,0,2018-04-24,2008-02-03,4,14,0,2001-02-21,2004-06-05,4,50.15,0,2004-09-26,4929143041783323,0568,2002-02-03,cats,
5,Douglas,Lambert,0!bF4-Douglas,QSABb6,2014-03-08,5,rowdy-halite,18.38,0,2018-02-04,5,584-541-3756,37220,TN,Nashville,1054 Overton Lea Road,0,2004-08-08,0,2008-11-26,2013-09-30,5,12,0,2018-05-30,2015-02-28,5,70.57,0,2010-12-27,4024007170015480,8142,2001-07-16,minerals,
6,Shelly,Harper,m3H9p-Shelly,4Cs4h3,2005-07-06,6,burning-sky,19.15,0,2018-03-29,6,983-571-1612,05701,VT,Rutland,8 Elmwood Drive,0,2020-08-23,0,2017-08-19,2020-05-30,6,4,0,2013-09-08,2004-04-15,6,17.82,0,2010-04-24,4716117807295927,4125,2019-05-27,3d_graphics,
7,George,Brown,yW3C-George,>o7W,2013-06-14,7,emerald-coconut,24.87,0,2001-06-25,7,819-562-2462,37217,TN,Nashville,306 Rural Hill Court,0,2002-03-28,0,2001-11-03,2006-07-29,7,5,0,2016-10-22,2004-06-17,7,95.09,0,2012-06-19,4556269659678388,2285,2006-08-16,fruit,
8,Alexander,Valencia,aW7Vq!-Alexander,XPg6,2003-11-25,8,frigid-title,11.21,0,2013-02-17,8,946-695-9758,99515,AK,Anchorage,11300 Lillian Lane,0,2005-12-19,0,2018-09-07,2002-11-13,8,8,0,2014-04-01,2021-10-16,8,82.61,0,2017-03-13,4929960053009929,7714,2008-11-02,web_development,
9,James,Nunez,Rxq#3-James,2-ZkuR,2013-01-02,9,concentric-diamond,17.44,0,2013-06-26,9,551-517-2375,02301,MA,Brockton,9 Montello Street,0,2020-12-01,0,2016-11-23,2018-02-14,9,13,0,2016-08-28,2014-02-06,9,76.1,0,2001-05-14,4485695183114571,3857,2008-03-20,sports,
10,April,Frazier,aYSqm6-April,l%Ne7J,2009-01-15,10,brass-seed,22.57,0,2020-02-22,10,752-915-9757,94577,CA,San Leandro,2399 East 14th Street,0,2004-07-22,0,2017-07-16,2003-04-11,10,16,0,2001-12-25,2012-04-17,10,29.58,0,2005-09-07,4716758497550418,3100,2009-12-08,plants,
